"","age","gender","country","E1","E2","E3","N1","N2","N3","A1","A2","A3","C1","C2","C3","O1","O2","O3","extroversion","neuroticism","agreeableness","conscientiousness","openness"
"1",53,"Male","US",4,5,5,1,2,1,5,5,5,4,5,4,3,4,5,1,0,1,1,1
"2",46,"Female","US",2,3,3,2,4,4,3,4,3,4,3,4,3,3,2,1,1,1,1,1
"3",14,"Female","PK",5,1,5,5,5,5,1,5,5,4,5,5,5,5,5,1,1,1,1,1
"4",19,"Female","RO",2,2,3,5,4,5,5,4,3,3,4,2,5,5,5,0,1,1,1,1
"5",25,"Female","US",3,3,3,3,3,3,5,5,5,3,5,3,1,3,3,1,1,1,1,0
"6",31,"Female","US",1,2,1,1,4,4,2,4,3,2,4,5,1,5,3,0,1,1,1,1
"7",20,"Female","US",5,5,5,2,2,2,5,5,5,2,3,3,5,4,4,1,0,1,1,1
"8",23,"Male","IN",4,5,5,1,4,1,5,4,5,4,5,3,5,5,5,1,0,1,1,1
"9",39,"Female","US",3,5,5,2,5,5,5,5,4,4,5,4,5,5,5,1,1,1,1,1
"10",18,"Female","US",1,2,2,5,5,4,3,4,2,5,4,4,5,4,4,0,1,1,1,1
"11",17,"Female","IT",1,2,1,5,5,5,4,4,3,3,3,3,5,3,5,0,1,1,1,1
"12",15,"Male","IN",3,5,3,1,3,3,4,2,4,3,4,3,4,4,5,1,0,1,1,1
"13",22,"Female","US",3,4,4,3,3,2,4,5,4,4,4,5,4,3,4,1,1,1,1,1
"14",21,"Female","US",1,2,1,5,5,5,1,4,2,5,5,4,3,4,4,0,1,0,1,1
"15",28,"Female","US",3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1
"16",21,"Male","US",2,2,3,2,2,2,2,2,2,4,4,4,5,4,5,0,0,0,1,1
"17",19,"Female","FR",1,2,2,4,3,3,2,1,1,4,5,3,4,5,4,0,1,0,1,1
"18",21,"Female","US",4,5,5,5,5,3,5,5,3,3,3,4,3,5,3,1,1,1,1,1
"19",26,"Female","GB",2,4,1,4,5,4,2,2,3,4,5,5,4,5,2,0,1,0,1,1
"20",26,"Female","US",2,3,3,4,3,2,3,4,4,1,5,2,5,5,4,1,1,1,1,1
"21",19,"Female","LT",1,2,3,4,4,4,5,5,3,2,4,1,5,4,4,0,1,1,0,1
"22",29,"Female","US",2,4,4,1,2,1,4,3,3,4,5,3,4,5,4,1,0,1,1,1
"23",29,"Female","US",2,1,2,3,5,3,4,4,3,4,4,4,5,3,3,0,1,1,1,1
"24",21,"Male","CA",3,4,4,3,3,2,4,4,3,3,5,4,4,5,3,1,1,1,1,1
"25",52,"Female","US",3,4,2,4,4,2,4,5,4,3,4,2,4,4,4,1,1,1,1,1
