team,driver,time,lap
Haas,Hulkenberg,14.35,1
Aston Martin,Stroll,2.57,9
Sauber,Zhou,3.03,9
Alpine,Ocon,2.64,10
Williams,Sargeant,13.54,10
Ferrari,Leclerc,2.23,11
Haas,Magnussen,3.88,11
Mercedes,Russell,2.81,11
Alpine,Gasly,8.03,12
McLaren,Piastri,3.57,12
Mercedes,Hamilton,3.4,12
Red Bull,Perez,2.29,12
Sauber,Bottas,4.3,12
McLaren,Norris,2.33,13
RB,Ricciardo,2.83,13
Ferrari,Sainz,2.6,14
RB,Tsunoda,2.51,14
Aston Martin,Alonso,3.14,15
Williams,Albon,3.01,15
Red Bull,Verstappen,2.97,17
Haas,Hulkenberg,2.79,20
Aston Martin,Stroll,2.85,27
Sauber,Zhou,2.77,28
Williams,Sargeant,3.15,28
Alpine,Ocon,3.01,30
Sauber,Bottas,52.44,30
Alpine,Gasly,4.37,31
Mercedes,Russell,2.94,31
Haas,Magnussen,2.56,32
McLaren,Norris,2.94,33
Mercedes,Hamilton,2.51,33
Ferrari,Leclerc,2.37,34
McLaren,Piastri,3.2,34
RB,Tsunoda,2.34,34
Ferrari,Sainz,2.27,35
RB,Ricciardo,2.73,35
Red Bull,Perez,2.76,36
Williams,Albon,2.84,36
Red Bull,Verstappen,2.27,37
Williams,Sargeant,3.45,40
Aston Martin,Alonso,3.26,41
Haas,Hulkenberg,2.74,41
Alpine,Gasly,3.42,43
