team,driver,time,lap
Aston Martin,Alonso,3.84,7
Alpine,Gasly,2.63,8
Sauber,Bottas,2.71,8
Williams,Albon,4.21,8
Williams,Albon,2.55,9
RB,Ricciardo,2.75,11
RB,Tsunoda,2.37,12
Haas,Hulkenberg,2.57,13
Mercedes,Russell,2.41,21
McLaren,Norris,2.46,22
McLaren,Piastri,2.24,23
Williams,Albon,10.94,23
Red Bull,Verstappen,2.69,24
Alpine,Ocon,2.51,25
Ferrari,Leclerc,2.81,25
Ferrari,Sainz,2.79,27
Mercedes,Hamilton,2.12,27
Williams,Albon,3.96,28
Alpine,Gasly,3.07,30
Williams,Sargeant,3.57,31
Sauber,Zhou,2.64,33
Aston Martin,Stroll,2.43,37
Haas,Magnussen,3.48,37
Red Bull,Perez,2.09,37
Aston Martin,Alonso,2.36,40
Mercedes,Russell,2.28,52
Aston Martin,Alonso,2.7,59
