team,driver,time,lap
RB,Ricciardo,2.88,5
Sauber,Zhou,3.4,6
Williams,Albon,2.54,6
Haas,Magnussen,3.04,7
Mercedes,Hamilton,2.46,7
Aston Martin,Stroll,2.65,8
Mercedes,Russell,2.59,8
Sauber,Bottas,31.18,8
Alpine,Ocon,2.88,9
Ferrari,Leclerc,2.2,9
McLaren,Piastri,2.49,9
RB,Tsunoda,3.37,9
McLaren,Norris,2.63,14
Red Bull,Perez,2.88,14
Alpine,Ocon,14.71,16
Ferrari,Sainz,2.61,16
Alpine,Gasly,5.04,17
Aston Martin,Alonso,2.83,17
Haas,Hulkenberg,3,17
Williams,Albon,2.75,27
RB,Ricciardo,2.67,29
Haas,Magnussen,3.05,33
Ferrari,Leclerc,2.18,34
Haas,Hulkenberg,2.82,35
Red Bull,Perez,2.1,35
Sauber,Zhou,20.2,35
RB,Tsunoda,2.47,36
Sauber,Bottas,3.63,36
Aston Martin,Stroll,2.87,37
McLaren,Piastri,3.51,39
McLaren,Norris,2.63,40
Alpine,Gasly,2.58,41
Aston Martin,Alonso,2.66,41
Ferrari,Sainz,2.67,41
Alpine,Ocon,2.43,42
Mercedes,Russell,2.51,45
