team,driver,time,lap
Williams,Albon,3.04,10
Aston Martin,Stroll,3.03,11
Sauber,Bottas,3.74,11
Williams,Sargeant,2.56,11
Alpine,Gasly,2.52,12
Haas,Hulkenberg,3.26,12
Red Bull,Perez,1.95,17
Ferrari,Leclerc,1.94,19
Alpine,Ocon,2.56,22
Aston Martin,Alonso,2.36,22
Haas,Magnussen,2.86,22
Red Bull,Verstappen,2.22,23
Mercedes,Russell,3.1,24
Mercedes,Hamilton,2.49,26
Ferrari,Sainz,3.19,27
McLaren,Piastri,2.6,27
Aston Martin,Stroll,2.65,28
Haas,Hulkenberg,2.51,28
Haas,Magnussen,9.85,28
RB,Ricciardo,2.56,28
RB,Tsunoda,2.44,28
Red Bull,Perez,2.64,28
Sauber,Zhou,2.73,28
McLaren,Norris,2.17,29
Sauber,Bottas,2.81,29
Haas,Magnussen,11.05,31
McLaren,Piastri,10.7,40
Williams,Albon,3,53
