team,driver,time,lap
Haas,Hulkenberg,2.93,8
RB,Tsunoda,2.24,8
Sauber,Zhou,3.02,8
Alpine,Ocon,2.78,9
Aston Martin,Stroll,3.4,9
Mercedes,Hamilton,2.43,9
Sauber,Bottas,2.82,9
Williams,Albon,3.2,9
Alpine,Gasly,19.35,11
Aston Martin,Alonso,2.71,11
Mercedes,Russell,2.51,11
Williams,Sargeant,3.2,12
Red Bull,Perez,2,13
Red Bull,Verstappen,2.18,13
RB,Ricciardo,2.37,14
McLaren,Piastri,2.83,16
Ferrari,Sainz,2.4,17
Haas,Magnussen,2.7,17
Aston Martin,Stroll,2.69,21
Ferrari,Leclerc,2.37,21
Mercedes,Hamilton,2.67,21
McLaren,Norris,2.2,22
Alpine,Gasly,3.5,23
Alpine,Ocon,2.99,23
Aston Martin,Alonso,2.48,23
Haas,Hulkenberg,3.02,23
Mercedes,Russell,2.45,23
RB,Tsunoda,2.28,23
Red Bull,Perez,2.05,23
Red Bull,Verstappen,1.9,23
Sauber,Zhou,5.37,23
Williams,Albon,3.37,23
McLaren,Piastri,2.27,24
Williams,Sargeant,2.66,24
Haas,Magnussen,3.79,27
Aston Martin,Stroll,13.81,35
Alpine,Gasly,2.7,38
Sauber,Zhou,3.27,40
Aston Martin,Alonso,2.91,43
