team,driver,time,lap
Haas,Hulkenberg,2.93,5
Sauber,Bottas,4.06,6
RB,Tsunoda,2.56,7
Sauber,Zhou,2.93,7
McLaren,Norris,2.31,11
Sauber,Zhou,5.43,11
Aston Martin,Stroll,2.63,12
McLaren,Piastri,2.97,12
Aston Martin,Alonso,2.34,13
Ferrari,Sainz,2.32,15
Red Bull,Perez,2.16,15
Alpine,Gasly,3.25,16
Red Bull,Verstappen,2.17,16
Alpine,Ocon,2.35,19
Aston Martin,Stroll,2.43,22
Haas,Magnussen,5.41,22
Mercedes,Russell,2.67,22
RB,Tsunoda,2.76,22
Sauber,Bottas,4.94,22
Williams,Sargeant,4.28,22
Mercedes,Hamilton,2.62,23
Ferrari,Leclerc,2.46,26
McLaren,Norris,2.61,26
Alpine,Gasly,2.32,32
McLaren,Piastri,2.45,32
Alpine,Ocon,3.24,33
Aston Martin,Alonso,2.42,33
Haas,Hulkenberg,3.31,33
Red Bull,Perez,2.13,33
Aston Martin,Stroll,2.42,34
Red Bull,Verstappen,2.08,34
Williams,Sargeant,3.38,34
Ferrari,Sainz,2.9,36
Mercedes,Russell,2.37,37
Mercedes,Hamilton,3.32,39
Williams,Sargeant,2.39,41
