"title","author","topic","year","pages"
"A Guide to Spell Weaving","Alaric Runeweaver","Arcana",1370,322
"Advanced Alchemical Techniques","Thalia Starbinder","Arcana",1747,53
"Advanced Spellcrafting","Thalor the Wise","Arcana",1652,201
"African Chants and Songs","Juma Kalu","Music",1018,439
"African Textile Art","Nia Adebayo","Art",1106,353
"Air Magic and Aeromancy","Galadriel Starfire","Arcana",1316,100
"Ambient and Experimental Sounds","Ava Roberts","Music",1961,170
"Ancient Chants and Hymns","Ava Mitchell","Music",1092,340
"Ancient Methods and Materials","Isabella Quinn","Art",1276,385
"Ancient Scrolls of Enchantment","Galadriel Starfire","Arcana",1524,287
"Ancient Teaching Methods","Liam Roberts","Education",1945,444
"Arcane Lore and Legends","Thalor the Wise","Arcana",1710,194
"Art Through the Ages","Marissa Gray","Art",1286,57
"Artifacts of the Ancients","Seraphina Moonfall","Arcana",1229,421
"Artistry in Ancient Times","Liam Peterson","Art",1992,268
"Beasts of the Enchanted Forest","Lysandra Silverleaf","Arcana",1061,140
"Beowulf and Its Origins","Alexander Clark","Writing",1086,159
"Binding the Elements","Morgath the Malevolent","Arcana",1997,337
"Black Magic and Sorcery","Seraphina Moonfall","Arcana",1782,480
"Bollywood Beats","Priya Mehta","Music",1557,88
"Building Believable Characters","Grace Johnson","Writing",1989,446
"Building Strong Relationships","Jack Parker","Education",1614,449
"Carnatic Melodies","Meera Rao","Music",1938,333
"Charms and Enchantments","Seraphina Moonfall","Arcana",1621,55
"Chronicles of the Arcane","Eldric Moonwhisper","Arcana",1237,353
"Codex Arcanum","Thalor the Wise","Arcana",1462,180
"Collected Works of the Masters","James Green","Art",1900,238
"Compendium of Enchanted Creatures","Morgath the Malevolent","Arcana",1679,40
"Contemporary Techniques in Art","Miles Parker","Art",1018,429
"Country Music's Comeback","Grace Parker","Music",1040,437
"Crafting Ancient Art","Samuel Pierce","Art",1844,331
"Crafting Compelling Characters","Lucas Harris","Writing",1032,152
"Crafting Compelling Memoirs","Grace Parker","Writing",1983,97
"Creating Fantasy Realms","Ethan Hall","Writing",1004,143
"Creating Inclusive Environments","Ava Green","Education",1984,154
"Creating Memorable Characters","Mia Morgan","Writing",1802,492
"Creative Approaches to English Teaching","Olivia White","Education",1714,381
"Creative Math Teaching Methods","Olivia Bennett","Education",1213,191
"Creatures of Myth and Legend","Galadriel Starfire","Arcana",1670,270
"Cursed Relics and Treasures","Draven Blackthorn","Arcana",1341,404
"Curses and Hexes","Draven Blackthorn","Arcana",1730,485
"Dark Spells and Incantations","Thalia Starbinder","Arcana",1972,430
"Dickens' Characters Unveiled","Jack Mitchell","Writing",1372,451
"Digital Soundscapes","Lily Morgan","Music",1802,494
