"year","month","day","mode","route","peak","numerator","denominator"
2023,1,1,"Bus","1","OFF_PEAK",1063,1333
2023,1,1,"Bus","10","OFF_PEAK",294,387
2023,1,1,"Bus","100","OFF_PEAK",146,168
2023,1,1,"Bus","101","OFF_PEAK",204,266
2023,1,1,"Bus","104","OFF_PEAK",283,407
2023,1,1,"Bus","105","OFF_PEAK",85,92
2023,1,1,"Bus","106","OFF_PEAK",181,206
2023,1,1,"Bus","108","OFF_PEAK",95,131
2023,1,1,"Bus","109","OFF_PEAK",348,431
2023,1,1,"Bus","11","OFF_PEAK",223,279
2023,1,1,"Bus","110","OFF_PEAK",250,348
2023,1,1,"Bus","111","OFF_PEAK",1343,1620
2023,1,1,"Bus","112","OFF_PEAK",120,165
2023,1,1,"Bus","116","OFF_PEAK",327,415
2023,1,1,"Bus","117","OFF_PEAK",384,512
2023,1,1,"Bus","119","OFF_PEAK",81,119
2023,1,1,"Bus","120","OFF_PEAK",175,229
2023,1,1,"Bus","134","OFF_PEAK",170,233
2023,1,1,"Bus","137","OFF_PEAK",66,103
2023,1,1,"Bus","15","OFF_PEAK",890,1034
2023,1,1,"Bus","16","OFF_PEAK",420,561
2023,1,1,"Bus","17","OFF_PEAK",112,147
2023,1,1,"Bus","171","OFF_PEAK",0,7
2023,1,1,"Bus","191","OFF_PEAK",4,11
2023,1,1,"Bus","194","OFF_PEAK",10,16
2023,1,1,"Bus","201","OFF_PEAK",104,143
2023,1,1,"Bus","21","OFF_PEAK",149,161
2023,1,1,"Bus","211","OFF_PEAK",56,81
2023,1,1,"Bus","215","OFF_PEAK",133,250
2023,1,1,"Bus","216","OFF_PEAK",173,261
2023,1,1,"Bus","22","OFF_PEAK",794,987
2023,1,1,"Bus","220","OFF_PEAK",176,218
2023,1,1,"Bus","222","OFF_PEAK",141,187
2023,1,1,"Bus","225","OFF_PEAK",128,187
2023,1,1,"Bus","23","OFF_PEAK",1157,1430
2023,1,1,"Bus","230","OFF_PEAK",117,177
2023,1,1,"Bus","236","OFF_PEAK",55,99
2023,1,1,"Bus","238","OFF_PEAK",128,229
2023,1,1,"Bus","24","OFF_PEAK",116,189
2023,1,1,"Bus","240","OFF_PEAK",194,262
2023,1,1,"Bus","26","OFF_PEAK",63,91
2023,1,1,"Bus","28","OFF_PEAK",1113,1507
2023,1,1,"Bus","30","OFF_PEAK",115,140
2023,1,1,"Bus","31","OFF_PEAK",414,536
2023,1,1,"Bus","32","OFF_PEAK",730,889
2023,1,1,"Bus","34","OFF_PEAK",260,376
2023,1,1,"Bus","34E","OFF_PEAK",485,752
2023,1,1,"Bus","35","OFF_PEAK",127,188
2023,1,1,"Bus","350","OFF_PEAK",204,297
2023,1,1,"Bus","36","OFF_PEAK",319,449
2023,1,1,"Bus","39","OFF_PEAK",687,908
2023,1,1,"Bus","40","OFF_PEAK",42,80
2023,1,1,"Bus","41","OFF_PEAK",148,216
2023,1,1,"Bus","42","OFF_PEAK",125,160
2023,1,1,"Bus","426","OFF_PEAK",168,318
2023,1,1,"Bus","429","OFF_PEAK",81,124
2023,1,1,"Bus","43","OFF_PEAK",253,310
2023,1,1,"Bus","435","OFF_PEAK",46,74
2023,1,1,"Bus","44","OFF_PEAK",234,335
2023,1,1,"Bus","441","OFF_PEAK",80,126
2023,1,1,"Bus","442","OFF_PEAK",152,220
2023,1,1,"Bus","45","OFF_PEAK",174,293
2023,1,1,"Bus","450","OFF_PEAK",194,278
2023,1,1,"Bus","455","OFF_PEAK",228,323
2023,1,1,"Bus","47","OFF_PEAK",299,357
2023,1,1,"Bus","55","OFF_PEAK",49,54
2023,1,1,"Bus","57","OFF_PEAK",994,1199
2023,1,1,"Bus","59","OFF_PEAK",100,110
2023,1,1,"Bus","60","OFF_PEAK",161,255
2023,1,1,"Bus","64","OFF_PEAK",59,98
2023,1,1,"Bus","66","OFF_PEAK",1002,1247
2023,1,1,"Bus","69","OFF_PEAK",180,228
2023,1,1,"Bus","70","OFF_PEAK",399,599
2023,1,1,"Bus","71","OFF_PEAK",523,624
2023,1,1,"Bus","73","OFF_PEAK",480,583
2023,1,1,"Bus","741","OFF_PEAK",1082,1289
2023,1,1,"Bus","742","OFF_PEAK",240,294
2023,1,1,"Bus","743","OFF_PEAK",994,1236
2023,1,1,"Bus","746","OFF_PEAK",27,39
2023,1,1,"Bus","749","OFF_PEAK",708,791
2023,1,1,"Bus","75","OFF_PEAK",237,276
2023,1,1,"Bus","751","OFF_PEAK",452,544
2023,1,1,"Bus","77","OFF_PEAK",795,1044
2023,1,1,"Bus","78","OFF_PEAK",193,277
2023,1,1,"Bus","8","OFF_PEAK",345,496
2023,1,1,"Bus","80","OFF_PEAK",152,224
2023,1,1,"Bus","83","OFF_PEAK",175,205
2023,1,1,"Bus","86","OFF_PEAK",251,357
2023,1,1,"Bus","87","OFF_PEAK",267,343
2023,1,1,"Bus","88","OFF_PEAK",301,360
2023,1,1,"Bus","89","OFF_PEAK",140,202
2023,1,1,"Bus","9","OFF_PEAK",349,415
2023,1,1,"Bus","90","OFF_PEAK",47,60
2023,1,1,"Bus","91","OFF_PEAK",187,199
2023,1,1,"Bus","93","OFF_PEAK",121,149
2023,1,1,"Bus","94","OFF_PEAK",183,207
2023,1,1,"Bus","95","OFF_PEAK",116,159
2023,1,1,"Bus","96","OFF_PEAK",234,317
