"year","month","day","mode","route","peak","numerator","denominator"
2023,1,1,"Rail","Blue","OFF_PEAK",33536.796263028,33747.309638293
2023,1,1,"Rail","Green-B","OFF_PEAK",9254.309805377,10982.918334461
2023,1,1,"Rail","Green-C","OFF_PEAK",10169.693702619,12623.909571038
2023,1,1,"Rail","Green-D","OFF_PEAK",14639.707955353,18568.055979658
2023,1,1,"Rail","Green-E","OFF_PEAK",12279.609363254,16095.224992048
2023,1,1,"Rail","Orange","OFF_PEAK",45674.325056302,46679.887023219
2023,1,1,"Rail","Red","OFF_PEAK",59984.367438276,66606.054484288
2023,1,2,"Rail","Blue","OFF_PEAK",39577.212083209,39900.559015028
2023,1,2,"Rail","Blue","PEAK",28129.756328128,28725.695502142
2023,1,2,"Rail","Green-B","OFF_PEAK",9864.250670899,11913.997183383
2023,1,2,"Rail","Green-B","PEAK",6374.940457048,7690.168198882
2023,1,2,"Rail","Green-C","OFF_PEAK",11586.231248636,13839.073093379
2023,1,2,"Rail","Green-C","PEAK",8616.996788781,10432.929306836
2023,1,2,"Rail","Green-D","OFF_PEAK",18633.91859694,23369.879095345
2023,1,2,"Rail","Green-D","PEAK",13951.323250876,17392.588239278
2023,1,2,"Rail","Green-E","OFF_PEAK",16543.388533987,20834.725106517
2023,1,2,"Rail","Green-E","PEAK",11934.976783479,14872.1212398
2023,1,2,"Rail","Orange","OFF_PEAK",83428.194059389,86044.415562029
2023,1,2,"Rail","Orange","PEAK",70648.340633712,72187.740640638
2023,1,2,"Rail","Red","OFF_PEAK",107093.64614175,117639.727998644
2023,1,2,"Rail","Red","PEAK",100043.616838886,112481.907278479
2023,1,3,"Rail","Blue","OFF_PEAK",39517.700087937,43116.229062874
2023,1,3,"Rail","Blue","PEAK",24736.633123932,28087.815002019
2023,1,3,"Rail","Green-B","OFF_PEAK",9801.571515122,11889.127818153
2023,1,3,"Rail","Green-B","PEAK",6554.696107269,7744.413119382
2023,1,3,"Rail","Green-C","OFF_PEAK",11143.406207559,13615.614556376
2023,1,3,"Rail","Green-C","PEAK",7325.88037872,8869.433264408
2023,1,3,"Rail","Green-D","OFF_PEAK",18721.625562348,23916.348576122
2023,1,3,"Rail","Green-D","PEAK",14873.7287871,18475.360842064
2023,1,3,"Rail","Green-E","OFF_PEAK",17299.813219317,20942.378815389
2023,1,3,"Rail","Green-E","PEAK",11926.909755441,14494.206108709
2023,1,3,"Rail","Orange","OFF_PEAK",77725.989182742,89592.926258269
2023,1,3,"Rail","Orange","PEAK",61824.544608832,72092.625364809
2023,1,3,"Rail","Red","OFF_PEAK",112911.001319971,126821.613828204
2023,1,3,"Rail","Red","PEAK",98130.602902113,111962.124461486
2023,1,4,"Rail","Blue","OFF_PEAK",41284.399032028,43079.387255698
2023,1,4,"Rail","Blue","PEAK",27087.466483948,28526.901902038
2023,1,4,"Rail","Green-B","OFF_PEAK",9980.72461141,11797.520952308
2023,1,4,"Rail","Green-B","PEAK",6221.557728929,7035.699853161
2023,1,4,"Rail","Green-C","OFF_PEAK",11132.4713376,13742.420099116
2023,1,4,"Rail","Green-C","PEAK",8082.352648226,10023.873962353
2023,1,4,"Rail","Green-D","OFF_PEAK",19114.033714041,24181.690932555
2023,1,4,"Rail","Green-D","PEAK",14936.783931823,18759.606748403
2023,1,4,"Rail","Green-E","OFF_PEAK",16946.94896657,21501.859879555
2023,1,4,"Rail","Green-E","PEAK",12473.641681356,15322.454884101
2023,1,4,"Rail","Orange","OFF_PEAK",71688.400524659,88376.205006096
2023,1,4,"Rail","Orange","PEAK",58371.249736979,73936.921964082
2023,1,4,"Rail","Red","OFF_PEAK",117814.93088544,130480.075696253
2023,1,4,"Rail","Red","PEAK",103827.124002217,116377.793498967
