"country","gdp","support","life_expectancy","freedom","generosity","corruption","residual"
"Afghanistan",0.37,0,0.126,0,0.122,0.01,1.895
"Albania",1.008,0.529,0.646,0.491,0.168,0.024,2.25
"Algeria",0.946,0.765,0.552,0.119,0.144,0.12,2.242
"Argentina",1.162,0.98,0.646,0.544,0.069,0.067,2.461
"Armenia",0.996,0.758,0.585,0.54,0.079,0.198,2.127
"Australia",1.453,1.076,0.801,0.647,0.291,0.317,2.598
"Austria",1.492,1.062,0.782,0.64,0.215,0.292,2.784
"Azerbaijan",1.025,0.841,0.541,0.526,0.043,0.276,1.919
"Bahrain",1.409,0.899,0.662,0.661,0.246,0.139,2.631
"Bangladesh",0.635,0.52,0.514,0.603,0.161,0.164,2.427
"Belarus",1.124,1.007,0.56,0.326,0.07,0.199,2.247
"Belgium",1.463,0.998,0.747,0.489,0.088,0.187,2.862
"Benin",0.507,0.058,0.196,0.457,0.166,0.178,3.482
"Bolivia",0.842,0.782,0.486,0.6,0.138,0.064,2.805
"Bosnia and Herzegovina",1.032,0.919,0.618,0.395,0.261,0.005,2.583
"Botswana",1.099,0.724,0.34,0.539,0.027,0.088,0.648
"Brazil",1.028,0.944,0.571,0.514,0.142,0.117,3.015
"Bulgaria",1.181,1.055,0.583,0.494,0.125,0.005,1.823
"Burkina Faso",0.364,0.472,0.179,0.381,0.182,0.122,3.133
"Burundi",0,0.062,0.155,0.298,0.172,0.212,2.876
"Cambodia",0.603,0.68,0.426,0.702,0.21,0.061,2.148
"Cameroon",0.543,0.556,0.159,0.425,0.205,0.058,3.195
"Canada",1.447,1.044,0.798,0.648,0.246,0.335,2.585
"Chad",0.255,0.353,0,0.24,0.215,0.084,3.209
"Chile",1.2,0.946,0.678,0.438,0.159,0.07,2.682
"China",1.061,0.785,0.665,0.636,0.093,0.117,1.982
"Colombia",1.021,0.866,0.615,0.554,0.1,0.063,2.794
"Comoros",0.488,0.367,0.279,0.202,0.241,0.101,2.61
"Congo (Brazzaville)",0.518,0.392,0.307,0.381,0.144,0.124,3.476
"Costa Rica",1.134,0.966,0.722,0.673,0.105,0.083,3.387
"Croatia",1.251,1.039,0.703,0.453,0.111,0,2.325
"Cyprus",1.377,0.765,0.801,0.464,0.178,0.061,2.578
"Czech Republic",1.37,1.09,0.703,0.58,0.052,0.046,3.124
"Denmark",1.502,1.108,0.763,0.686,0.208,0.485,2.868
"Dominican Republic",1.106,0.879,0.555,0.581,0.101,0.144,2.178
"Ecuador",0.935,0.806,0.64,0.56,0.107,0.062,2.653
"Egypt",0.954,0.647,0.426,0.446,0.069,0.092,1.648
"El Salvador",0.845,0.675,0.565,0.615,0.116,0.16,3.085
"Estonia",1.344,1.079,0.64,0.641,0.119,0.263,2.103
"Ethiopia",0.37,0.679,0.331,0.451,0.241,0.114,2.089
"Finland",1.446,1.106,0.741,0.691,0.124,0.481,3.253
"France",1.421,1.081,0.804,0.536,0.092,0.235,2.521
"Gabon",1.037,0.707,0.362,0.424,0.058,0.064,2.201
"Gambia",0.367,0.511,0.21,0.384,0.465,0.123,2.99
